AB,AD,AN,AU,C1,C2,DA,DB,DO,DP,ET,ID,IS,KW,L1,LA,N1,PY,SE,SN,SP,ST,T2,TI,TY,UR,VL
"In this study, we investigated the intricate interplay between Trichoderma and the tomato genome, focusing on the transcriptional and metabolic changes triggered during the late colonization event. Microarray probe set (GSE76332) was utilized to analyze the gene expression profiles changes of the un-inoculated control (tomato) and Trichoderma-tomato interactions for identification of the differentially expressed significant genes. Based on principal component analysis and R-based correlation, we observed a positive correlation between the two cross-comaparable groups, corroborating the existence of transcriptional responses in the host triggered by Trichoderma priming. The statistically significant genes based on different p-value cut-off scores [(p(adj)-values or q-value); p(adj)-value < 0.05], [(p(cal)-values); p(cal)-value < 0.05; p(cal) < 0.01; p(cal) < 0.001)] were cross compared. Through cross-comparison, we identified 156 common genes that were consistently significant across all probability thresholds, and showing a strong positive corelation between p-value and q-value in the selected probe sets. We reported TD2, CPT1, pectin synthase, EXT-3 (extensin-3), Lox C, and pyruvate kinase (PK), which exhibited upregulated expression, and Glb1 and nitrate reductase (nii), which demonstrated downregulated expression during Trichoderma-tomato interaction. In addition, microbial priming with Trichoderma resulted into differential expression of transcription factors related to systemic defense and flowering including MYB13, MYB78, ERF2, ERF3, ERF5, ERF-1B, NAC, MADS box, ZF3, ZAT10, A20/AN1, polyol sugar transporter like zinc finger proteins, and a novel plant defensin protein. The potential bottleneck and hub genes involved in this dynamic response were also identified. The protein-protein interaction (PPI) network analysis based on 25 topmost DEG(S) (p(cal)-value < 0.05) and the Weighted Correlation Gene Network Analysis (WGCNA) of the 1786 significant DEGs (p(cal-)value < 0.05) we reported the hits associated with carbohydrate metabolism, secondary metabolite biosynthesis, and the nitrogen metabolism. We conclude that the Trichoderma-induced microbial priming re-programmed the host genome for transcriptional response during the late colonization event and were characterized by metabolic shifting and biochemical changes specific to plant growth and development. The work also highlights the relevance of statistical parameters in understanding the gene regulatory dynamics and complex regulatory networks based on differential expression, co-expression, and protein interaction networks orchestrating the host responses to beneficial microbial interactions.","Division of Plant Pathology, ICAR-Indian Agricultural Research Institute, Pusa, New Delhi-110012, Delhi, India. khan.aamir18@gmail.com.",37940862,"Aamir, M. | Shanmugam, V. | Dubey, M. K. | Husain, F. M. | Adil, M. | Ansari, W. A. | Rai, A. | Sah, P.",The authors declare no competing interests.,PMC10631224,Nov 8,Medline,10.1186/s12870-023-04502-6,NLM,20231108,1176,1,Transcriptome,internal-pdf://1768580150/Aamir-2023.pdf,,"Aamir, Mohd",2023,,1471-2229 (Electronic),552,Transcriptomic characterization of Trichoderma harzianum T34 primed tomato plants: assessment of biocontrol agent induced host specific gene expression and plant growth promotion,BMC Plant Biol,Transcriptomic characterization of Trichoderma harzianum T34 primed tomato plants: assessment of biocontrol agent induced host specific gene expression and plant growth promotion,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/37940862,23
"BACKGROUND: Bolting refers to the early flowering stem production on agricultural and horticultural crops before harvesting. Indeed, bolting is an event induced by the coordinated effects of various environmental factors and endogenous genetic components, which cause a large reduction in the quality and productivity of vegetable crops like spinach. However, little is known about the signaling pathways and molecular functions involved in bolting mechanisms in spinach. The genetic information regarding the transition from vegetative growth to the reproductive stage in spinach would represent an advantage to regulate bolting time and improvement of resistant cultivars to minimize performance loss. RESULTS: To investigate the key genes and their genetic networks controlling spinach bolting, we performed RNA-seq analysis on early bolting accession Kashan and late-bolting accession Viroflay at both vegetative and reproductive stages and found a significant number of differentially expressed genes (DEGs) ranging from 195 to 1230 in different comparisons. These genes were mainly associated with the signaling pathways of vernalization, photoperiod/circadian clock, gibberellin, autonomous, and aging pathways. Gene ontology analysis uncovered terms associated with carbohydrate metabolism, and detailed analysis of expression patterns for genes of Fructose-1, 6-bisphosphate aldolase, TREHALOSE-6-PHOSPHATE SYNTHASE 1, FLOWERING PROMOTING FACTOR 1, EARLY FLOWERING, GIGANTEA, and MADS-box proteins revealed their potential roles in the initiating or delaying of bolting. CONCLUSION: This study is the first report on identifying bolting and flowering-related genes based on transcriptome sequencing in spinach, which provides insight into bolting control and can be useful for molecular breeding programs and further study in the regulation of the genetic mechanisms related to bolting in other vegetable crops.","Department of Horticulture, College of Agriculture, Isfahan University of Technology, Isfahan, Iran.",33853527,"Abolghasemi, R. | Haghighi, M. | Etemadi, N. | Wang, S. | Soorni, A.",The authors declare that they have no competing interests.,PMC8045288,Apr 14,Medline,10.1186/s12870-021-02956-0,NLM,20210414,1143,1,*Gene Regulatory Networks,internal-pdf://3375498704/Abolghasemi-2021.pdf,,"Abolghasemi, Reza",2021,,1471-2229 (Electronic),179,Transcriptome architecture reveals genetic networks of bolting regulation in spinach,BMC Plant Biol,Transcriptome architecture reveals genetic networks of bolting regulation in spinach,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/33853527,21
"Interactions between MADS box transcription factors are critical in the regulation of floral development, and shifting MADS box protein-protein interactions are predicted to have influenced floral evolution. However, precisely how evolutionary variation in protein-protein interactions affects MADS box protein function remains unknown. To assess the impact of changing MADS box protein-protein interactions on transcription factor function, we turned to the grasses, where interactions between B-class MADS box proteins vary. We tested the functional consequences of this evolutionary variability using maize (Zea mays) as an experimental system. We found that differential B-class dimerization was associated with subtle, quantitative differences in stamen shape. In contrast, differential dimerization resulted in large-scale changes to downstream gene expression. Differential dimerization also affected B-class complex composition and abundance, independent of transcript levels. This indicates that differential B-class dimerization affects protein degradation, revealing an important consequence for evolutionary variability in MADS box interactions. Our results highlight complexity in the evolution of developmental gene networks: changing protein-protein interactions could affect not only the composition of transcription factor complexes but also their degradation and persistence in developing flowers. Our results also show how coding change in a pleiotropic master regulator could have small, quantitative effects on development.","Biology Department, University of Massachusetts, Amherst, 01003 Massachusetts.",32873631,"Abraham-Juarez, M. J. | Schrager-Lavelle, A. | Man, J. | Whipple, C. | Handakumbura, P. | Babbitt, C. | Bartlett, M.",,PMC7610293,Nov,Medline,10.1105/tpc.20.00300,NLM,20200901,240,11,Chromatin Assembly and Disassembly,internal-pdf://2548957143/Abraham-Juarez-2020.pdf,,"Abraham-Juarez, Maria Jazmin",2020,,1532-298X (Electronic),3408-3424,Evolutionary Variation in MADS Box Dimerization Affects Floral Development and Protein Abundance in Maize,Plant Cell,Evolutionary Variation in MADS Box Dimerization Affects Floral Development and Protein Abundance in Maize,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/32873631,32
"Plant microRNAs (miRNAs) are small, regulatory non-coding RNAs involved in a wide range of biological processes, from organ development to response to stimuli. In recent years, an increasing number of studies on model plant species have highlighted the evolutionary conservation of a high number of miRNA families and the existence of taxon-specific ones. However, few studies have examined miRNAs in non-model species such as orchids, which are characterized by highly diversified floral structures and pollination strategies. Therefore, we analysed a small RNA library of inflorescence tissue of the Mediterranean orchid Orchis italica to increase the knowledge on miRNAs in a non-model plant species. The high-throughput sequencing and analysis of a small RNA library of inflorescence of O. italica revealed 23 conserved and 161 putative novel miRNA families. Among the putative miRNA targets, experimental validation demonstrated that a DEF-like MADS-box transcript is cleaved by the homolog of miR5179 of O. italica. The presence of conserved miRNA families in the inflorescence of O. italica indicates that the basic developmental flower regulatory mechanisms mediated by miRNAs are maintained through evolution. Because, according to the ""orchid code"" theory, DEF-like genes exert a key function in the diversification of tepals and lip, the cleavage-mediated inhibitory activity of miR5179 on a OitaDEF-like transcript suggests that, in orchids, miRNAs play an important role in the diversification of the perianth organs.","Department of Biology, University of Naples Federico II, Napoli, Italy.",24832004,"Aceto, S. | Sica, M. | De Paolo, S. | D'Argenio, V. | Cantiello, P. | Salvatore, F. | Gaudio, L.",Competing Interests: The authors have declared that no competing interests exist.,PMC4022656,2014/05/15,Medline,10.1371/journal.pone.0097839,NLM,20140515,1782,5,Amino Acid Sequence,internal-pdf://3172686010/Aceto-2014.pdf,,"Aceto, Serena",2014,,1932-6203 (Electronic),e97839,The analysis of the inflorescence miRNome of the orchid Orchis italica reveals a DEF-like MADS-box gene as a new miRNA target,PLoS One,The analysis of the inflorescence miRNome of the orchid Orchis italica reveals a DEF-like MADS-box gene as a new miRNA target,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/24832004,9
"The diverse flowers of Orchidaceae are the result of several major morphological transitions, among them the most studied is the differentiation of the inner median tepal into the labellum, a perianth organ key in pollinator attraction. Type A peloria lacking stamens and with ectopic labella in place of inner lateral tepals are useful for testing models on the genes specifying these organs by comparing their patterns of expression between wild-type and peloric flowers. Previous studies focused on DEFICIENS- and GLOBOSA-like MADS-box genes because of their conserved role in perianth and stamen development. The ""orchid code"" model summarizes this work and shows in Orchidaceae there are four paralogous lineages of DEFICIENS/AP3-like genes differentially expressed in each floral whorl. Experimental tests of this model showed the conserved, higher expression of genes from two specific DEF-like gene lineages is associated with labellum development. The present study tests whether eight MADS-box candidate SEP-, FUL-, AG-, and STK-like genes have been specifically duplicated in the Orchidaceae and are also differentially expressed in association with the distinct flower organs of Phalaenopsis hyb. ""Athens."" The gene trees indicate orchid-specific duplications. In a way analogous to what is observed in labellum-specific DEF-like genes, a two-fold increase in the expression of SEP3-like gene PhaMADS7 was measured in the labellum-like inner lateral tepals of peloric flowers. The overlap between SEP3-like and DEF-like genes suggests both are associated with labellum specification and similar positional cues determine their domains of expression. In contrast, the uniform messenger levels of FUL-like genes suggest they are involved in the development of all organs and their expression in the ovary suggests cell differentiation starts before pollination. As previously reported AG-like and STK-like genes are exclusively expressed in gynostemium and ovary, however no evidence for transcriptional divergence was found in the stage investigated. Gene expression suggests a developmental regulatory system based on the combined activity of duplicate MADS-box genes. We discuss its feasibility based on documented protein interactions and patterns of expression.","Department of Cell Biology and Plant Biochemistry, University of Regensburg Regensburg, Germany.",24659990,"Acri-Nunes-Miranda, R. | Mondragon-Palomino, M.",,PMC3950491,,PubMed-not-MEDLINE,10.3389/fpls.2014.00076,NLM,20140312,236,,Orchidaceae,internal-pdf://2032652302/Acri-Nunes-Miranda-2014.pdf,,"Acri-Nunes-Miranda, Roberta",2014,,1664-462X (Print),76,"Expression of paralogous SEP-, FUL-, AG- and STK-like MADS-box genes in wild-type and peloric Phalaenopsis flowers",Front Plant Sci,"Expression of paralogous SEP-, FUL-, AG- and STK-like MADS-box genes in wild-type and peloric Phalaenopsis flowers",JOUR,https://www.ncbi.nlm.nih.gov/pubmed/24659990,5
"The developmental roles of AGL15 and AGL18, members of the AGL15-like clade of MADS domain regulatory factors, have not been defined previously. Analysis of transgenic Arabidopsis plants showed that overexpression of AGL18 produces the same phenotypic changes as overexpression of AGL15, and the two genes have partially overlapping expression patterns. Functional redundancy was confirmed through analysis of loss-of-function mutants. agl15 agl18 double mutants, but not single mutants, flower early under non-inductive conditions, indicating that AGL15 and AGL18 act in a redundant fashion as repressors of the floral transition. Further genetic analyses and expression studies were used to examine the relationship between AGL15 and AGL18 activity and other regulators of the floral transition. AGL15 and AGL18 act upstream of the floral integrator FT, and a combination of agl15 and agl18 mutations partially suppresses defects in the photoperiod pathway. agl15 agl18 mutations show an additive relationship with mutations in genes encoding other MADS domain floral repressors, and further acceleration of flowering is seen in triple and quadruple mutants under both inductive and non-inductive conditions. Thus, flowering time is determined by the additive effect of multiple MADS domain floral repressors, with important contributions from AGL15 and AGL18.","Department of Botany, University of Wisconsin-Madison, 430 Lincoln Drive, Madison, WI 53706-1381, USA.",17521410,"Adamczyk, B. J. | Lehti-Shiu, M. D. | Fernandez, D. E.",,,Jun,Medline,10.1111/j.1365-313X.2007.03105.x,NLM,20070523,1340,6,Arabidopsis/genetics/*growth & development/metabolism,internal-pdf://1160402720/Adamczyk-2007.pdf,,"Adamczyk, Benjamin J",2007,,0960-7412 (Print),1007-19,The MADS domain factors AGL15 and AGL18 act redundantly as repressors of the floral transition in Arabidopsis,Plant J,The MADS domain factors AGL15 and AGL18 act redundantly as repressors of the floral transition in Arabidopsis,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/17521410,50
"Flower development is an important determinant of grain yield in crops. In wheat (Triticum spp.), natural variation for the size of spikelet and floral organs is particularly evident in Triticum turgidum ssp. polonicum (also termed Triticum polonicum), a tetraploid subspecies of wheat with long glumes, lemmas, and grains. Using map-based cloning, we identified VEGETATIVE TO REPRODUCTIVE TRANSITION 2 (VRT2), which encodes a MADS-box transcription factor belonging to the SHORT VEGETATIVE PHASE family, as the gene underlying the T. polonicum long-glume (P1) locus. The causal P1 mutation is a sequence rearrangement in intron-1 that results in ectopic expression of the T. polonicum VRT-A2 allele. Based on allelic variation studies, we propose that the intron-1 mutation in VRT-A2 is the unique T. polonicum subspecies-defining polymorphism, which was later introduced into hexaploid wheat via natural hybridizations. Near-isogenic lines differing for the P1 locus revealed a gradient effect of P1 across spikelets and within florets. Transgenic lines of hexaploid wheat carrying the T. polonicum VRT-A2 allele show that expression levels of VRT-A2 are highly correlated with spike, glume, grain, and floral organ length. These results highlight how changes in expression profiles, through variation in cis-regulation, can affect agronomic traits in a dosage-dependent manner in polyploid crops.","John Innes Centre, Norwich Research Park, Norwich, NR4 7UH, UK.",34009390,"Adamski, N. M. | Simmonds, J. | Brinton, J. F. | Backhaus, A. E. | Chen, Y. | Smedley, M. | Hayta, S. | Florio, T. | Crane, P. | Scott, P. | Pieri, A. | Hall, O. | Barclay, J. E. | Clayton, M. | Doonan, J. H. | Nibau, C. | Uauy, C.",,PMC8364232,Aug 13,Medline,10.1093/plcell/koab119,NLM,,1039,7,Ectopic Gene Expression/genetics/physiology,internal-pdf://4139692590/Adamski-2021.pdf,,"Adamski, Nikolai M",2021,,1532-298X (Electronic),2296-2319,Ectopic expression of Triticum polonicum VRT-A2 underlies elongated glumes and grains in hexaploid wheat in a dosage-dependent manner,Plant Cell,Ectopic expression of Triticum polonicum VRT-A2 underlies elongated glumes and grains in hexaploid wheat in a dosage-dependent manner,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/34009390,33
"BACKGROUND: Correct flower formation requires highly specific temporal and spatial regulation of gene expression. In Arabidopsis thaliana the majority of the master regulators that determine flower organ identity belong to the MADS-domain transcription factor family. The canonical DNA binding motif for this transcription factor family is the CArG-box, which has the consensus CC(A/T)(6)GG. However, so far, a comprehensive analysis of MADS-domain binding patterns has not yet been performed. RESULTS: Eight publicly available ChIP-seq datasets of MADS-domain proteins that regulate the floral transition and flower formation were analyzed. Surprisingly, the preferred DNA binding motif of each protein was a CArG-box with an NAA extension. Furthermore, motifs of other transcription factors were found in the vicinity of binding sites of MADS-domain transcription factors, suggesting that interaction of MADS-domain proteins with other transcription factors is important for target gene regulation. Finally, conservation of CArG-boxes between Arabidopsis ecotypes was assessed to obtain information about their evolutionary importance. CArG-boxes that fully matched the consensus were more conserved than other CArG-boxes, suggesting that the perfect CArG-box is evolutionary more important than other CArG-box variants. CONCLUSION: Our analysis provides detailed insight into MADS-domain protein binding patterns. The results underline the importance of an extended version of the CArG-box and provide a first view on evolutionary conservation of MADS-domain protein binding sites in Arabidopsis ecotypes.","Bioscience, Wageningen UR, Droevendaalsesteeg 1, Wageningen, The Netherlands.",29940855,"Aerts, N. | de Bruijn, S. | van Mourik, H. | Angenent, G. C. | van Dijk, A. D. J.",ETHICS APPROVAL AND CONSENT TO PARTICIPATE: Not applicable. COMPETING INTERESTS: The authors declare that they have no competing interests. PUBLISHER'S NOTE: Springer Nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.,PMC6019531,Jun 25,Medline,10.1186/s12870-018-1348-8,NLM,20180625,749,1,Arabidopsis/genetics/growth & development/*metabolism,internal-pdf://2687863918/Aerts-2018.pdf,,"Aerts, Niels",2018,,1471-2229 (Electronic),131,Comparative analysis of binding patterns of MADS-domain proteins in Arabidopsis thaliana,BMC Plant Biol,Comparative analysis of binding patterns of MADS-domain proteins in Arabidopsis thaliana,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/29940855,18
"Variations in magnetic field (MF) intensity are known to induce plant morphological and gene expression changes. In Arabidopsis thaliana Col-0, near-null magnetic field (NNMF, i.e., <100 nT MF) causes a delay in the transition to flowering, but the expression of genes involved in this response has been poorly studied. Here, we showed a time-course quantitative analysis of the expression of both leaf (including clock genes, photoperiod pathway, GA20ox, SVP, and vernalization pathway) and floral meristem (including GA2ox, SOC1, AGL24, LFY, AP1, FD, and FLC) genes involved in the transition to flowering in A. thaliana under NNMF. NNMF induced a delayed flowering time and a significant reduction of leaf area index and flowering stem length, with respect to controls under geomagnetic field. Generation experiments (F(1) - and F(2) -NNMF) showed retention of flowering delay. The quantitative expression (qPCR) of some A. thaliana genes expressed in leaves and floral meristem was studied during transition to flowering. In leaves and flowering meristem, NNMF caused an early downregulation of clock, photoperiod, gibberellin, and vernalization pathways and a later downregulation of TSF, AP1, and FLC. In the floral meristem, the downregulation of AP1, AGL24, FT, and FLC in early phases of floral development was accompanied by a downregulation of the gibberellin pathway. The progressive upregulation of AGL24 and AP1 was also correlated to the delayed flowering by NNMF. The flowering delay is associated with the strong downregulation of FT, FLC, and GA20ox in the floral meristem and FT, TSF, FLC, and GA20ox in leaves. Bioelectromagnetics. 39:361-374, 2018. (c) 2018 The Authors. Bioelectromagnetics Published by Wiley Periodicals, Inc.","Plant Physiology Unit, Department of Life Sciences and Systems Biology, University of Turin, Turin, Italy.",29709075,"Agliassa, C. | Narayana, R. | Bertea, C. M. | Rodgers, C. T. | Maffei, M. E.",,PMC6032911,Jul,Medline,10.1002/bem.22123,NLM,20180430,1217,5,Arabidopsis/anatomy & histology/*growth & development/*metabolism,internal-pdf://2728529627/Agliassa-2018.pdf,,"Agliassa, Chiara",2018,,1521-186X (Electronic),361-374,Reduction of the geomagnetic field delays Arabidopsis thaliana flowering time through downregulation of flowering-related genes,Bioelectromagnetics,Reduction of the geomagnetic field delays Arabidopsis thaliana flowering time through downregulation of flowering-related genes,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/29709075,39
"Flowering in orchids is the most important horticultural trait regulated by multiple mechanisms. Arundina graminifolia flowers throughout the year unlike other orchids with a narrow flowering span. However, little is known of the genetic regulation of this peculiar flowering pattern. This study identifies a number of transcription factor (TF) families in five stages of flower development and four tissue types through RNA-seq transcriptome. About 700 DEGs were annotated to the transcription factor category and classified into 35 TF families, which were involved in multiple signaling pathways. The most abundant TF family was bHLH, followed by MYB and WRKY. Some important members of the bHLH, WRKY, MYB, TCP, and MADS-box families were found to regulate the flowering genes at transcriptional levels. Particularly, the TFs WRKY34 and ERF12 possibly respond to vernalization and photoperiod signaling, MYB108, RR9, VP1, and bHLH49 regulate hormonal balance, and CCA1 may control the circadian pathway. MADS-box TFs including MADS6, 14, 16, AGL5, and SEP may be important regulators of flowering in A. graminifolia. Therefore, this study provides a theoretical basis for understanding the molecular mechanism of flowering in A. graminifolia.","Guangdong Key Laboratory of Ornamental Plant Germplasm Innovation and Utilization, Environmental Horticulture Research Institute, Guangdong Academy of Agricultural Sciences, Guangzhou 510640, China.",34063940,"Ahmad, S. | Lu, C. | Wu, J. | Wei, Y. | Gao, J. | Jin, J. | Zheng, C. | Zhu, G. | Yang, F.",The authors declare no conflict of interest.,PMC8224086,May 21,Medline,10.3390/biom11060771,NLM,20210521,1085,6,Flowers/genetics/*metabolism,internal-pdf://1049783667/Ahmad-2021.pdf,,"Ahmad, Sagheer",2021,,2218-273X (Electronic),,Transcriptional Cascade in the Regulation of Flowering in the Bamboo Orchid Arundina graminifolia,Biomolecules,Transcriptional Cascade in the Regulation of Flowering in the Bamboo Orchid Arundina graminifolia,JOUR,https://www.ncbi.nlm.nih.gov/pubmed/34063940,11
